p;n;connectedGraphsPercentatge
0.000000;50;1.000000
0.010000;50;0.631000
0.020000;50;0.398000
0.030000;50;0.253000
0.040000;50;0.159000
0.050000;50;0.086000
0.060000;50;0.061000
0.070000;50;0.028000
0.080000;50;0.015000
0.090000;50;0.018000
0.100000;50;0.006000
0.110000;50;0.003000
0.120000;50;0.003000
0.130000;50;0.000000
0.140000;50;0.001000
0.150000;50;0.001000
0.160000;50;0.000000
0.170000;50;0.000000
0.180000;50;0.000000
0.190000;50;0.000000
0.200000;50;0.000000
0.210000;50;0.000000
0.220000;50;0.000000
0.230000;50;0.000000
0.240000;50;0.000000
0.250000;50;0.000000
0.260000;50;0.000000
0.270000;50;0.000000
0.280000;50;0.000000
0.290000;50;0.000000
0.300000;50;0.000000
0.310000;50;0.000000
0.320000;50;0.000000
0.330000;50;0.000000
0.340000;50;0.000000
0.350000;50;0.000000
0.360000;50;0.000000
0.370000;50;0.000000
0.380000;50;0.000000
0.390000;50;0.000000
0.400000;50;0.000000
0.410000;50;0.000000
0.420000;50;0.000000
0.430000;50;0.000000
0.440000;50;0.000000
0.450000;50;0.000000
0.460000;50;0.000000
0.470000;50;0.000000
0.480000;50;0.000000
0.490000;50;0.000000
0.500000;50;0.000000
0.510000;50;0.000000
0.520000;50;0.000000
0.530000;50;0.000000
0.540000;50;0.000000
0.550000;50;0.000000
0.560000;50;0.000000
0.570000;50;0.000000
0.580000;50;0.000000
0.590000;50;0.000000
0.600000;50;0.000000
0.610000;50;0.000000
0.620000;50;0.000000
0.630000;50;0.000000
0.640000;50;0.000000
0.650000;50;0.000000
0.660000;50;0.000000
0.670000;50;0.000000
0.680000;50;0.000000
0.690000;50;0.000000
0.700000;50;0.000000
0.710000;50;0.000000
0.720000;50;0.000000
0.730000;50;0.000000
0.740000;50;0.000000
0.750000;50;0.000000
0.760000;50;0.000000
0.770000;50;0.000000
0.780000;50;0.000000
0.790000;50;0.000000
0.800000;50;0.000000
0.810000;50;0.000000
0.820000;50;0.000000
0.830000;50;0.000000
0.840000;50;0.000000
0.850000;50;0.000000
0.860000;50;0.000000
0.870000;50;0.000000
0.880000;50;0.000000
0.890000;50;0.000000
0.900000;50;0.000000
0.910000;50;0.000000
0.920000;50;0.000000
0.930000;50;0.000000
0.940000;50;0.000000
0.950000;50;0.000000
0.960000;50;0.000000
0.970000;50;0.000000
0.980000;50;0.000000
0.990000;50;0.000000
1.000000;50;0.000000
0.000000;100;1.000000
0.010000;100;0.403000
0.020000;100;0.152000
0.030000;100;0.061000
0.040000;100;0.018000
0.050000;100;0.008000
0.060000;100;0.003000
0.070000;100;0.001000
0.080000;100;0.000000
0.090000;100;0.000000
0.100000;100;0.000000
0.110000;100;0.000000
0.120000;100;0.000000
0.130000;100;0.000000
0.140000;100;0.000000
0.150000;100;0.000000
0.160000;100;0.000000
0.170000;100;0.000000
0.180000;100;0.000000
0.190000;100;0.000000
0.200000;100;0.000000
0.210000;100;0.000000
0.220000;100;0.000000
0.230000;100;0.000000
0.240000;100;0.000000
0.250000;100;0.000000
0.260000;100;0.000000
0.270000;100;0.000000
0.280000;100;0.000000
0.290000;100;0.000000
0.300000;100;0.000000
0.310000;100;0.000000
0.320000;100;0.000000
0.330000;100;0.000000
0.340000;100;0.000000
0.350000;100;0.000000
0.360000;100;0.000000
0.370000;100;0.000000
0.380000;100;0.000000
0.390000;100;0.000000
0.400000;100;0.000000
0.410000;100;0.000000
0.420000;100;0.000000
0.430000;100;0.000000
0.440000;100;0.000000
0.450000;100;0.000000
0.460000;100;0.000000
0.470000;100;0.000000
0.480000;100;0.000000
0.490000;100;0.000000
0.500000;100;0.000000
0.510000;100;0.000000
0.520000;100;0.000000
0.530000;100;0.000000
0.540000;100;0.000000
0.550000;100;0.000000
0.560000;100;0.000000
0.570000;100;0.000000
0.580000;100;0.000000
0.590000;100;0.000000
0.600000;100;0.000000
0.610000;100;0.000000
0.620000;100;0.000000
0.630000;100;0.000000
0.640000;100;0.000000
0.650000;100;0.000000
0.660000;100;0.000000
0.670000;100;0.000000
0.680000;100;0.000000
0.690000;100;0.000000
0.700000;100;0.000000
0.710000;100;0.000000
0.720000;100;0.000000
0.730000;100;0.000000
0.740000;100;0.000000
0.750000;100;0.000000
0.760000;100;0.000000
0.770000;100;0.000000
0.780000;100;0.000000
0.790000;100;0.000000
0.800000;100;0.000000
0.810000;100;0.000000
0.820000;100;0.000000
0.830000;100;0.000000
0.840000;100;0.000000
0.850000;100;0.000000
0.860000;100;0.000000
0.870000;100;0.000000
0.880000;100;0.000000
0.890000;100;0.000000
0.900000;100;0.000000
0.910000;100;0.000000
0.920000;100;0.000000
0.930000;100;0.000000
0.940000;100;0.000000
0.950000;100;0.000000
0.960000;100;0.000000
0.970000;100;0.000000
0.980000;100;0.000000
0.990000;100;0.000000
1.000000;100;0.000000
0.000000;150;1.000000
0.010000;150;0.237000
0.020000;150;0.060000
0.030000;150;0.008000
0.040000;150;0.003000
0.050000;150;0.000000
0.060000;150;0.000000
0.070000;150;0.000000
0.080000;150;0.000000
0.090000;150;0.000000
0.100000;150;0.000000
0.110000;150;0.000000
0.120000;150;0.000000
0.130000;150;0.000000
0.140000;150;0.000000
0.150000;150;0.000000
0.160000;150;0.000000
0.170000;150;0.000000
0.180000;150;0.000000
0.190000;150;0.000000
0.200000;150;0.000000
0.210000;150;0.000000
0.220000;150;0.000000
0.230000;150;0.000000
0.240000;150;0.000000
0.250000;150;0.000000
0.260000;150;0.000000
0.270000;150;0.000000
0.280000;150;0.000000
0.290000;150;0.000000
0.300000;150;0.000000
0.310000;150;0.000000
0.320000;150;0.000000
0.330000;150;0.000000
0.340000;150;0.000000
0.350000;150;0.000000
0.360000;150;0.000000
0.370000;150;0.000000
0.380000;150;0.000000
0.390000;150;0.000000
0.400000;150;0.000000
0.410000;150;0.000000
0.420000;150;0.000000
0.430000;150;0.000000
0.440000;150;0.000000
0.450000;150;0.000000
0.460000;150;0.000000
0.470000;150;0.000000
0.480000;150;0.000000
0.490000;150;0.000000
0.500000;150;0.000000
0.510000;150;0.000000
0.520000;150;0.000000
0.530000;150;0.000000
0.540000;150;0.000000
0.550000;150;0.000000
0.560000;150;0.000000
0.570000;150;0.000000
0.580000;150;0.000000
0.590000;150;0.000000
0.600000;150;0.000000
0.610000;150;0.000000
0.620000;150;0.000000
0.630000;150;0.000000
0.640000;150;0.000000
0.650000;150;0.000000
0.660000;150;0.000000
0.670000;150;0.000000
0.680000;150;0.000000
0.690000;150;0.000000
0.700000;150;0.000000
0.710000;150;0.000000
0.720000;150;0.000000
0.730000;150;0.000000
0.740000;150;0.000000
0.750000;150;0.000000
0.760000;150;0.000000
0.770000;150;0.000000
0.780000;150;0.000000
0.790000;150;0.000000
0.800000;150;0.000000
0.810000;150;0.000000
0.820000;150;0.000000
0.830000;150;0.000000
0.840000;150;0.000000
0.850000;150;0.000000
0.860000;150;0.000000
0.870000;150;0.000000
0.880000;150;0.000000
0.890000;150;0.000000
0.900000;150;0.000000
0.910000;150;0.000000
0.920000;150;0.000000
0.930000;150;0.000000
0.940000;150;0.000000
0.950000;150;0.000000
0.960000;150;0.000000
0.970000;150;0.000000
0.980000;150;0.000000
0.990000;150;0.000000
1.000000;150;0.000000
0.000000;200;1.000000
0.010000;200;0.134000
0.020000;200;0.017000
0.030000;200;0.006000
0.040000;200;0.001000
0.050000;200;0.000000
0.060000;200;0.000000
0.070000;200;0.000000
0.080000;200;0.000000
0.090000;200;0.000000
0.100000;200;0.000000
0.110000;200;0.000000
0.120000;200;0.000000
0.130000;200;0.000000
0.140000;200;0.000000
0.150000;200;0.000000
0.160000;200;0.000000
0.170000;200;0.000000
0.180000;200;0.000000
0.190000;200;0.000000
0.200000;200;0.000000
0.210000;200;0.000000
0.220000;200;0.000000
0.230000;200;0.000000
0.240000;200;0.000000
0.250000;200;0.000000
0.260000;200;0.000000
0.270000;200;0.000000
0.280000;200;0.000000
0.290000;200;0.000000
0.300000;200;0.000000
0.310000;200;0.000000
0.320000;200;0.000000
0.330000;200;0.000000
0.340000;200;0.000000
0.350000;200;0.000000
0.360000;200;0.000000
0.370000;200;0.000000
0.380000;200;0.000000
0.390000;200;0.000000
0.400000;200;0.000000
0.410000;200;0.000000
0.420000;200;0.000000
0.430000;200;0.000000
0.440000;200;0.000000
0.450000;200;0.000000
0.460000;200;0.000000
0.470000;200;0.000000
0.480000;200;0.000000
0.490000;200;0.000000
0.500000;200;0.000000
0.510000;200;0.000000
0.520000;200;0.000000
0.530000;200;0.000000
0.540000;200;0.000000
0.550000;200;0.000000
0.560000;200;0.000000
0.570000;200;0.000000
0.580000;200;0.000000
0.590000;200;0.000000
0.600000;200;0.000000
0.610000;200;0.000000
0.620000;200;0.000000
0.630000;200;0.000000
0.640000;200;0.000000
0.650000;200;0.000000
0.660000;200;0.000000
0.670000;200;0.000000
0.680000;200;0.000000
0.690000;200;0.000000
0.700000;200;0.000000
0.710000;200;0.000000
0.720000;200;0.000000
0.730000;200;0.000000
0.740000;200;0.000000
0.750000;200;0.000000
0.760000;200;0.000000
0.770000;200;0.000000
0.780000;200;0.000000
0.790000;200;0.000000
0.800000;200;0.000000
0.810000;200;0.000000
0.820000;200;0.000000
0.830000;200;0.000000
0.840000;200;0.000000
0.850000;200;0.000000
0.860000;200;0.000000
0.870000;200;0.000000
0.880000;200;0.000000
0.890000;200;0.000000
0.900000;200;0.000000
0.910000;200;0.000000
0.920000;200;0.000000
0.930000;200;0.000000
0.940000;200;0.000000
0.950000;200;0.000000
0.960000;200;0.000000
0.970000;200;0.000000
0.980000;200;0.000000
0.990000;200;0.000000
1.000000;200;0.000000
0.000000;250;1.000000
0.010000;250;0.078000
0.020000;250;0.007000
0.030000;250;0.000000
0.040000;250;0.000000
0.050000;250;0.000000
0.060000;250;0.000000
0.070000;250;0.000000
0.080000;250;0.000000
0.090000;250;0.000000
0.100000;250;0.000000
0.110000;250;0.000000
0.120000;250;0.000000
0.130000;250;0.000000
0.140000;250;0.000000
0.150000;250;0.000000
0.160000;250;0.000000
0.170000;250;0.000000
0.180000;250;0.000000
0.190000;250;0.000000
0.200000;250;0.000000
0.210000;250;0.000000
0.220000;250;0.000000
0.230000;250;0.000000
0.240000;250;0.000000
0.250000;250;0.000000
0.260000;250;0.000000
0.270000;250;0.000000
0.280000;250;0.000000
0.290000;250;0.000000
0.300000;250;0.000000
0.310000;250;0.000000
0.320000;250;0.000000
0.330000;250;0.000000
0.340000;250;0.000000
0.350000;250;0.000000
0.360000;250;0.000000
0.370000;250;0.000000
0.380000;250;0.000000
0.390000;250;0.000000
0.400000;250;0.000000
0.410000;250;0.000000
0.420000;250;0.000000
0.430000;250;0.000000
0.440000;250;0.000000
0.450000;250;0.000000
0.460000;250;0.000000
0.470000;250;0.000000
0.480000;250;0.000000
0.490000;250;0.000000
0.500000;250;0.000000
0.510000;250;0.000000
0.520000;250;0.000000
0.530000;250;0.000000
0.540000;250;0.000000
0.550000;250;0.000000
0.560000;250;0.000000
0.570000;250;0.000000
0.580000;250;0.000000
0.590000;250;0.000000
0.600000;250;0.000000
0.610000;250;0.000000
0.620000;250;0.000000
0.630000;250;0.000000
0.640000;250;0.000000
0.650000;250;0.000000
0.660000;250;0.000000
0.670000;250;0.000000
0.680000;250;0.000000
0.690000;250;0.000000
0.700000;250;0.000000
0.710000;250;0.000000
0.720000;250;0.000000
0.730000;250;0.000000
0.740000;250;0.000000
0.750000;250;0.000000
0.760000;250;0.000000
0.770000;250;0.000000
0.780000;250;0.000000
0.790000;250;0.000000
0.800000;250;0.000000
0.810000;250;0.000000
0.820000;250;0.000000
0.830000;250;0.000000
0.840000;250;0.000000
0.850000;250;0.000000
0.860000;250;0.000000
0.870000;250;0.000000
0.880000;250;0.000000
0.890000;250;0.000000
0.900000;250;0.000000
0.910000;250;0.000000
0.920000;250;0.000000
0.930000;250;0.000000
0.940000;250;0.000000
0.950000;250;0.000000
0.960000;250;0.000000
0.970000;250;0.000000
0.980000;250;0.000000
0.990000;250;0.000000
1.000000;250;0.000000
0.000000;300;1.000000
0.010000;300;0.049000
0.020000;300;0.001000
0.030000;300;0.000000
0.040000;300;0.000000
0.050000;300;0.001000
0.060000;300;0.000000
0.070000;300;0.000000
0.080000;300;0.000000
0.090000;300;0.000000
0.100000;300;0.000000
0.110000;300;0.000000
0.120000;300;0.000000
0.130000;300;0.000000
0.140000;300;0.000000
0.150000;300;0.000000
0.160000;300;0.000000
0.170000;300;0.000000
0.180000;300;0.000000
0.190000;300;0.000000
0.200000;300;0.000000
0.210000;300;0.000000
0.220000;300;0.000000
0.230000;300;0.000000
0.240000;300;0.000000
0.250000;300;0.000000
0.260000;300;0.000000
0.270000;300;0.000000
0.280000;300;0.000000
0.290000;300;0.000000
0.300000;300;0.000000
0.310000;300;0.000000
0.320000;300;0.000000
0.330000;300;0.000000
0.340000;300;0.000000
0.350000;300;0.000000
0.360000;300;0.000000
0.370000;300;0.000000
0.380000;300;0.000000
0.390000;300;0.000000
0.400000;300;0.000000
0.410000;300;0.000000
0.420000;300;0.000000
0.430000;300;0.000000
