p;n;connectedGraphs
0.000000;10;1000
0.010000;10;1000
0.020000;10;998
0.030000;10;996
0.040000;10;996
0.050000;10;989
0.060000;10;984
0.070000;10;966
0.080000;10;963
0.090000;10;957
0.100000;10;940
0.110000;10;944
0.120000;10;927
0.130000;10;915
0.140000;10;890
0.150000;10;886
0.160000;10;890
0.170000;10;878
0.180000;10;856
0.190000;10;827
0.200000;10;790
0.210000;10;782
0.220000;10;773
0.230000;10;755
0.240000;10;724
0.250000;10;705
0.260000;10;681
0.270000;10;656
0.280000;10;641
0.290000;10;615
0.300000;10;584
0.310000;10;555
0.320000;10;521
0.330000;10;532
0.340000;10;491
0.350000;10;455
0.360000;10;468
0.370000;10;422
0.380000;10;373
0.390000;10;348
0.400000;10;350
0.410000;10;332
0.420000;10;288
0.430000;10;284
0.440000;10;283
0.450000;10;243
0.460000;10;238
0.470000;10;196
0.480000;10;202
0.490000;10;161
0.500000;10;171
0.510000;10;135
0.520000;10;115
0.530000;10;116
0.540000;10;91
0.550000;10;72
0.560000;10;69
0.570000;10;59
0.580000;10;52
0.590000;10;49
0.600000;10;51
0.610000;10;39
0.620000;10;38
0.630000;10;40
0.640000;10;17
0.650000;10;15
0.660000;10;17
0.670000;10;18
0.680000;10;9
0.690000;10;15
0.700000;10;5
0.710000;10;6
0.720000;10;5
0.730000;10;4
0.740000;10;3
0.750000;10;1
0.760000;10;2
0.770000;10;0
0.780000;10;2
0.790000;10;0
0.800000;10;1
0.810000;10;1
0.820000;10;0
0.830000;10;0
0.840000;10;0
0.850000;10;0
0.860000;10;0
0.870000;10;0
0.880000;10;0
0.890000;10;0
0.900000;10;0
0.910000;10;0
0.920000;10;0
0.930000;10;0
0.940000;10;0
0.950000;10;0
0.960000;10;0
0.970000;10;0
0.980000;10;0
0.990000;10;0
1.000000;10;0
0.000000;20;1000
0.010000;20;1000
0.020000;20;997
0.030000;20;991
0.040000;20;983
0.050000;20;985
0.060000;20;968
0.070000;20;959
0.080000;20;941
0.090000;20;923
0.100000;20;901
0.110000;20;899
0.120000;20;857
0.130000;20;846
0.140000;20;811
0.150000;20;783
0.160000;20;761
0.170000;20;716
0.180000;20;697
0.190000;20;693
0.200000;20;634
0.210000;20;622
0.220000;20;574
0.230000;20;541
0.240000;20;517
0.250000;20;494
0.260000;20;473
0.270000;20;413
0.280000;20;394
0.290000;20;392
0.300000;20;330
0.310000;20;330
0.320000;20;306
0.330000;20;274
0.340000;20;231
0.350000;20;212
0.360000;20;199
0.370000;20;154
0.380000;20;154
0.390000;20;143
0.400000;20;126
0.410000;20;109
0.420000;20;86
0.430000;20;79
0.440000;20;51
0.450000;20;43
0.460000;20;30
0.470000;20;36
0.480000;20;34
0.490000;20;24
0.500000;20;26
0.510000;20;13
0.520000;20;8
0.530000;20;12
0.540000;20;6
0.550000;20;9
0.560000;20;10
0.570000;20;5
0.580000;20;7
0.590000;20;6
0.600000;20;2
0.610000;20;1
0.620000;20;4
0.630000;20;2
0.640000;20;0
0.650000;20;0
0.660000;20;0
0.670000;20;0
0.680000;20;0
0.690000;20;0
0.700000;20;0
0.710000;20;0
0.720000;20;1
0.730000;20;0
0.740000;20;0
0.750000;20;0
0.760000;20;0
0.770000;20;0
0.780000;20;0
0.790000;20;0
0.800000;20;0
0.810000;20;0
0.820000;20;0
0.830000;20;0
0.840000;20;0
0.850000;20;0
0.860000;20;0
0.870000;20;0
0.880000;20;0
0.890000;20;0
0.900000;20;0
0.910000;20;0
0.920000;20;0
0.930000;20;0
0.940000;20;0
0.950000;20;0
0.960000;20;0
0.970000;20;0
0.980000;20;0
0.990000;20;0
1.000000;20;0
0.000000;30;1000
0.010000;30;999
0.020000;30;997
0.030000;30;988
0.040000;30;970
0.050000;30;974
0.060000;30;941
0.070000;30;928
0.080000;30;904
0.090000;30;888
0.100000;30;845
0.110000;30;841
0.120000;30;802
0.130000;30;757
0.140000;30;719
0.150000;30;702
0.160000;30;660
0.170000;30;643
0.180000;30;587
0.190000;30;547
0.200000;30;517
0.210000;30;470
0.220000;30;439
0.230000;30;426
0.240000;30;373
0.250000;30;339
0.260000;30;292
0.270000;30;267
0.280000;30;226
0.290000;30;246
0.300000;30;188
0.310000;30;175
0.320000;30;147
0.330000;30;128
0.340000;30;100
0.350000;30;99
0.360000;30;86
0.370000;30;75
0.380000;30;64
0.390000;30;46
0.400000;30;27
0.410000;30;20
0.420000;30;23
0.430000;30;24
0.440000;30;17
0.450000;30;6
0.460000;30;3
0.470000;30;9
0.480000;30;5
0.490000;30;2
0.500000;30;3
0.510000;30;4
0.520000;30;0
0.530000;30;2
0.540000;30;0
0.550000;30;0
0.560000;30;1
0.570000;30;0
0.580000;30;1
0.590000;30;0
0.600000;30;0
0.610000;30;0
0.620000;30;1
0.630000;30;0
0.640000;30;0
0.650000;30;0
0.660000;30;0
0.670000;30;0
0.680000;30;0
0.690000;30;0
0.700000;30;0
0.710000;30;0
0.720000;30;0
0.730000;30;0
0.740000;30;0
0.750000;30;0
0.760000;30;0
0.770000;30;0
0.780000;30;0
0.790000;30;0
0.800000;30;0
0.810000;30;0
0.820000;30;0
0.830000;30;0
0.840000;30;0
0.850000;30;0
0.860000;30;0
0.870000;30;0
0.880000;30;0
0.890000;30;0
0.900000;30;0
0.910000;30;0
0.920000;30;0
0.930000;30;0
0.940000;30;0
0.950000;30;0
0.960000;30;0
0.970000;30;0
0.980000;30;0
0.990000;30;0
1.000000;30;0
0.000000;40;1000
0.010000;40;999
0.020000;40;993
0.030000;40;981
0.040000;40;968
0.050000;40;953
0.060000;40;930
0.070000;40;916
0.080000;40;869
0.090000;40;840
0.100000;40;822
0.110000;40;783
0.120000;40;747
0.130000;40;717
0.140000;40;623
0.150000;40;624
0.160000;40;583
0.170000;40;533
0.180000;40;480
0.190000;40;452
0.200000;40;416
0.210000;40;358
0.220000;40;372
0.230000;40;260
0.240000;40;259
0.250000;40;232
0.260000;40;191
0.270000;40;159
0.280000;40;133
0.290000;40;125
0.300000;40;106
0.310000;40;89
0.320000;40;79
0.330000;40;62
0.340000;40;57
0.350000;40;32
0.360000;40;35
0.370000;40;22
0.380000;40;17
0.390000;40;21
0.400000;40;12
0.410000;40;4
0.420000;40;5
0.430000;40;4
0.440000;40;12
0.450000;40;3
0.460000;40;0
0.470000;40;2
0.480000;40;1
0.490000;40;0
0.500000;40;0
0.510000;40;0
0.520000;40;1
0.530000;40;0
0.540000;40;0
0.550000;40;0
0.560000;40;0
0.570000;40;0
0.580000;40;0
0.590000;40;0
0.600000;40;0
0.610000;40;0
0.620000;40;0
0.630000;40;0
0.640000;40;0
0.650000;40;0
0.660000;40;0
0.670000;40;0
0.680000;40;0
0.690000;40;0
0.700000;40;0
0.710000;40;0
0.720000;40;0
0.730000;40;0
0.740000;40;0
0.750000;40;0
0.760000;40;0
0.770000;40;0
0.780000;40;0
0.790000;40;0
0.800000;40;0
0.810000;40;0
0.820000;40;0
0.830000;40;0
0.840000;40;0
0.850000;40;0
0.860000;40;0
0.870000;40;0
0.880000;40;0
0.890000;40;0
0.900000;40;0
0.910000;40;0
0.920000;40;0
0.930000;40;0
0.940000;40;0
0.950000;40;0
0.960000;40;0
0.970000;40;0
0.980000;40;0
0.990000;40;0
1.000000;40;0
0.000000;50;1000
0.010000;50;998
0.020000;50;989
0.030000;50;977
0.040000;50;956
0.050000;50;954
0.060000;50;927
0.070000;50;888
0.080000;50;826
0.090000;50;837
0.100000;50;774
0.110000;50;743
0.120000;50;722
0.130000;50;633
0.140000;50;604
0.150000;50;569
0.160000;50;486
0.170000;50;450
0.180000;50;399
0.190000;50;367
0.200000;50;312
0.210000;50;286
0.220000;50;238
0.230000;50;206
0.240000;50;170
0.250000;50;154
0.260000;50;124
0.270000;50;98
0.280000;50;104
0.290000;50;80
0.300000;50;57
0.310000;50;51
0.320000;50;47
0.330000;50;26
0.340000;50;24
0.350000;50;23
0.360000;50;11
0.370000;50;15
0.380000;50;11
0.390000;50;3
0.400000;50;6
0.410000;50;4
0.420000;50;5
0.430000;50;1
0.440000;50;0
0.450000;50;1
0.460000;50;0
0.470000;50;0
0.480000;50;1
0.490000;50;0
0.500000;50;0
0.510000;50;0
0.520000;50;0
0.530000;50;0
0.540000;50;0
0.550000;50;0
0.560000;50;0
0.570000;50;0
0.580000;50;0
0.590000;50;0
0.600000;50;0
0.610000;50;0
0.620000;50;0
0.630000;50;0
0.640000;50;0
0.650000;50;0
0.660000;50;0
0.670000;50;0
0.680000;50;0
0.690000;50;0
0.700000;50;0
0.710000;50;0
0.720000;50;0
0.730000;50;0
0.740000;50;0
0.750000;50;0
0.760000;50;0
0.770000;50;0
0.780000;50;0
0.790000;50;0
0.800000;50;0
0.810000;50;0
0.820000;50;0
0.830000;50;0
0.840000;50;0
0.850000;50;0
0.860000;50;0
0.870000;50;0
0.880000;50;0
0.890000;50;0
0.900000;50;0
0.910000;50;0
0.920000;50;0
0.930000;50;0
0.940000;50;0
0.950000;50;0
0.960000;50;0
0.970000;50;0
0.980000;50;0
0.990000;50;0
1.000000;50;0
0.000000;60;1000
0.010000;60;998
0.020000;60;987
0.030000;60;974
0.040000;60;955
0.050000;60;928
0.060000;60;894
0.070000;60;857
0.080000;60;816
0.090000;60;778
0.100000;60;714
0.110000;60;715
0.120000;60;653
0.130000;60;577
0.140000;60;502
0.150000;60;455
0.160000;60;453
0.170000;60;379
0.180000;60;339
0.190000;60;291
0.200000;60;266
0.210000;60;220
0.220000;60;199
0.230000;60;165
0.240000;60;131
0.250000;60;94
0.260000;60;99
0.270000;60;64
0.280000;60;54
0.290000;60;47
0.300000;60;33
0.310000;60;26
0.320000;60;25
0.330000;60;14
0.340000;60;8
0.350000;60;9
0.360000;60;6
0.370000;60;3
0.380000;60;3
0.390000;60;1
0.400000;60;0
0.410000;60;1
0.420000;60;1
0.430000;60;2
0.440000;60;0
0.450000;60;1
0.460000;60;0
0.470000;60;0
0.480000;60;0
0.490000;60;0
0.500000;60;0
0.510000;60;0
0.520000;60;0
0.530000;60;0
0.540000;60;0
0.550000;60;0
0.560000;60;0
0.570000;60;0
0.580000;60;0
0.590000;60;0
0.600000;60;0
0.610000;60;0
0.620000;60;0
0.630000;60;0
0.640000;60;0
0.650000;60;0
0.660000;60;0
0.670000;60;0
0.680000;60;0
0.690000;60;0
0.700000;60;0
0.710000;60;0
0.720000;60;0
0.730000;60;0
0.740000;60;0
0.750000;60;0
0.760000;60;0
0.770000;60;0
0.780000;60;0
0.790000;60;0
0.800000;60;0
0.810000;60;0
0.820000;60;0
0.830000;60;0
0.840000;60;0
0.850000;60;0
0.860000;60;0
0.870000;60;0
0.880000;60;0
0.890000;60;0
0.900000;60;0
0.910000;60;0
0.920000;60;0
0.930000;60;0
0.940000;60;0
0.950000;60;0
0.960000;60;0
0.970000;60;0
0.980000;60;0
0.990000;60;0
1.000000;60;0
0.000000;70;1000
0.010000;70;997
0.020000;70;986
0.030000;70;967
0.040000;70;932
