p;n;connectedGraphs
0.000000;10;1000
0.010000;10;966
0.020000;10;924
0.030000;10;902
0.040000;10;864
0.050000;10;836
0.060000;10;761
0.070000;10;760
0.080000;10;714
0.090000;10;675
0.100000;10;656
0.110000;10;641
0.120000;10;609
0.130000;10;552
0.140000;10;528
0.150000;10;511
0.160000;10;465
0.170000;10;473
0.180000;10;428
0.190000;10;431
0.200000;10;391
0.210000;10;391
0.220000;10;350
0.230000;10;341
0.240000;10;316
0.250000;10;294
0.260000;10;283
0.270000;10;248
0.280000;10;226
0.290000;10;220
0.300000;10;197
0.310000;10;200
0.320000;10;173
0.330000;10;164
0.340000;10;157
0.350000;10;139
0.360000;10;131
0.370000;10;129
0.380000;10;121
0.390000;10;105
0.400000;10;95
0.410000;10;74
0.420000;10;78
0.430000;10;53
0.440000;10;49
0.450000;10;47
0.460000;10;53
0.470000;10;54
0.480000;10;30
0.490000;10;35
0.500000;10;33
0.510000;10;26
0.520000;10;35
0.530000;10;25
0.540000;10;20
0.550000;10;16
0.560000;10;17
0.570000;10;20
0.580000;10;17
0.590000;10;12
0.600000;10;7
0.610000;10;13
0.620000;10;11
0.630000;10;6
0.640000;10;3
0.650000;10;0
0.660000;10;5
0.670000;10;2
0.680000;10;1
0.690000;10;2
0.700000;10;1
0.710000;10;1
0.720000;10;0
0.730000;10;0
0.740000;10;0
0.750000;10;0
0.760000;10;0
0.770000;10;0
0.780000;10;0
0.790000;10;0
0.800000;10;0
0.810000;10;0
0.820000;10;0
0.830000;10;0
0.840000;10;0
0.850000;10;0
0.860000;10;0
0.870000;10;0
0.880000;10;0
0.890000;10;0
0.900000;10;0
0.910000;10;0
0.920000;10;0
0.930000;10;0
0.940000;10;0
0.950000;10;0
0.960000;10;0
0.970000;10;0
0.980000;10;0
0.990000;10;0
1.000000;10;0
0.000000;20;1000
0.010000;20;991
0.020000;20;970
0.030000;20;948
0.040000;20;934
0.050000;20;928
0.060000;20;907
0.070000;20;891
0.080000;20;883
0.090000;20;843
0.100000;20;824
0.110000;20;825
0.120000;20;781
0.130000;20;758
0.140000;20;765
0.150000;20;725
0.160000;20;742
0.170000;20;689
0.180000;20;659
0.190000;20;672
0.200000;20;625
0.210000;20;594
0.220000;20;613
0.230000;20;540
0.240000;20;542
0.250000;20;494
0.260000;20;481
0.270000;20;467
0.280000;20;459
0.290000;20;432
0.300000;20;428
0.310000;20;365
0.320000;20;357
0.330000;20;349
0.340000;20;300
0.350000;20;306
0.360000;20;304
0.370000;20;241
0.380000;20;243
0.390000;20;239
0.400000;20;194
0.410000;20;181
0.420000;20;165
0.430000;20;147
0.440000;20;124
0.450000;20;106
0.460000;20;103
0.470000;20;96
0.480000;20;72
0.490000;20;79
0.500000;20;53
0.510000;20;54
0.520000;20;57
0.530000;20;39
0.540000;20;33
0.550000;20;24
0.560000;20;22
0.570000;20;14
0.580000;20;19
0.590000;20;14
0.600000;20;13
0.610000;20;10
0.620000;20;11
0.630000;20;10
0.640000;20;4
0.650000;20;3
0.660000;20;2
0.670000;20;0
0.680000;20;1
0.690000;20;0
0.700000;20;1
0.710000;20;0
0.720000;20;0
0.730000;20;0
0.740000;20;0
0.750000;20;0
0.760000;20;0
0.770000;20;0
0.780000;20;0
0.790000;20;0
0.800000;20;0
0.810000;20;0
0.820000;20;0
0.830000;20;0
0.840000;20;0
0.850000;20;0
0.860000;20;0
0.870000;20;0
0.880000;20;0
0.890000;20;0
0.900000;20;0
0.910000;20;0
0.920000;20;0
0.930000;20;0
0.940000;20;0
0.950000;20;0
0.960000;20;0
0.970000;20;0
0.980000;20;0
0.990000;20;0
1.000000;20;0
0.000000;30;1000
0.010000;30;994
0.020000;30;996
0.030000;30;984
0.040000;30;983
0.050000;30;982
0.060000;30;977
0.070000;30;981
0.080000;30;964
0.090000;30;948
0.100000;30;956
0.110000;30;939
0.120000;30;943
0.130000;30;929
0.140000;30;900
0.150000;30;921
0.160000;30;894
0.170000;30;904
0.180000;30;877
0.190000;30;879
0.200000;30;871
0.210000;30;865
0.220000;30;836
0.230000;30;835
0.240000;30;809
0.250000;30;805
0.260000;30;783
0.270000;30;757
0.280000;30;738
0.290000;30;730
0.300000;30;714
0.310000;30;716
0.320000;30;664
0.330000;30;654
0.340000;30;635
0.350000;30;634
0.360000;30;590
0.370000;30;562
0.380000;30;550
0.390000;30;532
0.400000;30;521
0.410000;30;452
0.420000;30;450
0.430000;30;403
0.440000;30;398
0.450000;30;339
0.460000;30;334
0.470000;30;316
0.480000;30;321
0.490000;30;283
0.500000;30;227
0.510000;30;212
0.520000;30;192
0.530000;30;170
0.540000;30;158
0.550000;30;129
0.560000;30;110
0.570000;30;111
0.580000;30;82
0.590000;30;78
0.600000;30;55
0.610000;30;41
0.620000;30;45
0.630000;30;32
0.640000;30;18
0.650000;30;28
0.660000;30;8
0.670000;30;19
0.680000;30;9
0.690000;30;9
0.700000;30;5
0.710000;30;7
0.720000;30;1
0.730000;30;1
0.740000;30;0
0.750000;30;0
0.760000;30;0
0.770000;30;0
0.780000;30;0
0.790000;30;0
0.800000;30;0
0.810000;30;0
0.820000;30;1
0.830000;30;0
0.840000;30;0
0.850000;30;0
0.860000;30;0
0.870000;30;0
0.880000;30;0
0.890000;30;0
0.900000;30;0
0.910000;30;0
0.920000;30;0
0.930000;30;0
0.940000;30;0
0.950000;30;0
0.960000;30;0
0.970000;30;0
0.980000;30;0
0.990000;30;0
1.000000;30;0
0.000000;40;1000
0.010000;40;999
0.020000;40;999
0.030000;40;998
0.040000;40;996
0.050000;40;988
0.060000;40;997
0.070000;40;995
0.080000;40;995
0.090000;40;990
0.100000;40;987
0.110000;40;986
0.120000;40;985
0.130000;40;982
0.140000;40;989
0.150000;40;971
0.160000;40;981
0.170000;40;972
0.180000;40;958
0.190000;40;973
0.200000;40;961
0.210000;40;966
0.220000;40;956
0.230000;40;954
0.240000;40;945
0.250000;40;944
0.260000;40;942
0.270000;40;935
0.280000;40;927
0.290000;40;912
0.300000;40;903
0.310000;40;882
0.320000;40;878
0.330000;40;870
0.340000;40;860
0.350000;40;854
0.360000;40;832
0.370000;40;805
0.380000;40;798
0.390000;40;771
0.400000;40;762
0.410000;40;733
0.420000;40;745
0.430000;40;685
0.440000;40;671
0.450000;40;628
0.460000;40;622
0.470000;40;597
0.480000;40;552
0.490000;40;533
0.500000;40;535
0.510000;40;492
0.520000;40;443
0.530000;40;422
0.540000;40;377
0.550000;40;353
0.560000;40;320
0.570000;40;292
0.580000;40;264
0.590000;40;220
0.600000;40;228
0.610000;40;194
0.620000;40;153
0.630000;40;128
0.640000;40;98
0.650000;40;79
0.660000;40;63
0.670000;40;53
0.680000;40;37
0.690000;40;30
0.700000;40;24
0.710000;40;16
0.720000;40;9
0.730000;40;6
0.740000;40;9
0.750000;40;3
0.760000;40;3
0.770000;40;0
0.780000;40;0
0.790000;40;1
0.800000;40;1
0.810000;40;0
0.820000;40;0
0.830000;40;0
0.840000;40;0
0.850000;40;0
0.860000;40;0
0.870000;40;0
0.880000;40;0
0.890000;40;0
0.900000;40;0
0.910000;40;0
0.920000;40;0
0.930000;40;0
0.940000;40;0
0.950000;40;0
0.960000;40;0
0.970000;40;0
0.980000;40;0
0.990000;40;0
1.000000;40;0
0.000000;50;1000
0.010000;50;1000
0.020000;50;1000
0.030000;50;1000
0.040000;50;999
0.050000;50;999
0.060000;50;1000
0.070000;50;1000
0.080000;50;998
0.090000;50;998
0.100000;50;998
0.110000;50;994
0.120000;50;999
0.130000;50;997
0.140000;50;997
0.150000;50;997
0.160000;50;995
0.170000;50;997
0.180000;50;992
0.190000;50;994
0.200000;50;986
0.210000;50;991
0.220000;50;990
0.230000;50;986
0.240000;50;983
0.250000;50;989
0.260000;50;979
0.270000;50;982
0.280000;50;983
0.290000;50;976
0.300000;50;958
0.310000;50;969
0.320000;50;967
0.330000;50;978
0.340000;50;959
0.350000;50;957
0.360000;50;942
0.370000;50;946
0.380000;50;931
0.390000;50;910
0.400000;50;914
0.410000;50;905
0.420000;50;889
0.430000;50;877
0.440000;50;861
0.450000;50;841
0.460000;50;854
0.470000;50;803
0.480000;50;799
0.490000;50;759
0.500000;50;759
0.510000;50;732
0.520000;50;708
0.530000;50;670
0.540000;50;650
0.550000;50;608
0.560000;50;574
0.570000;50;550
0.580000;50;497
0.590000;50;476
0.600000;50;436
0.610000;50;404
0.620000;50;342
0.630000;50;316
0.640000;50;273
0.650000;50;237
0.660000;50;196
0.670000;50;181
0.680000;50;119
0.690000;50;103
0.700000;50;80
0.710000;50;62
0.720000;50;48
0.730000;50;24
0.740000;50;17
0.750000;50;15
0.760000;50;7
0.770000;50;3
0.780000;50;2
0.790000;50;1
0.800000;50;1
0.810000;50;0
0.820000;50;0
0.830000;50;0
0.840000;50;0
0.850000;50;0
0.860000;50;0
0.870000;50;0
0.880000;50;0
0.890000;50;0
0.900000;50;0
0.910000;50;0
0.920000;50;0
0.930000;50;0
0.940000;50;0
0.950000;50;0
0.960000;50;0
0.970000;50;0
0.980000;50;0
0.990000;50;0
1.000000;50;0
