p;n;connectedGraphsPercentatge
0.000000;2;1.000000
0.010000;2;1.000000
0.020000;2;0.997000
0.030000;2;0.999000
0.040000;2;0.991000
0.050000;2;0.992000
0.060000;2;0.980000
0.070000;2;0.975000
0.080000;2;0.966000
0.090000;2;0.960000
0.100000;2;0.926000
0.110000;2;0.926000
0.120000;2;0.934000
0.130000;2;0.917000
0.140000;2;0.909000
0.150000;2;0.868000
0.160000;2;0.881000
0.170000;2;0.865000
0.180000;2;0.849000
0.190000;2;0.846000
0.200000;2;0.817000
0.210000;2;0.802000
0.220000;2;0.789000
0.230000;2;0.792000
0.240000;2;0.733000
0.250000;2;0.757000
0.260000;2;0.738000
0.270000;2;0.701000
0.280000;2;0.676000
0.290000;2;0.664000
0.300000;2;0.655000
0.310000;2;0.610000
0.320000;2;0.596000
0.330000;2;0.588000
0.340000;2;0.566000
0.350000;2;0.580000
0.360000;2;0.551000
0.370000;2;0.525000
0.380000;2;0.509000
0.390000;2;0.504000
0.400000;2;0.472000
0.410000;2;0.418000
0.420000;2;0.468000
0.430000;2;0.448000
0.440000;2;0.396000
0.450000;2;0.377000
0.460000;2;0.356000
0.470000;2;0.355000
0.480000;2;0.329000
0.490000;2;0.338000
0.500000;2;0.303000
0.510000;2;0.314000
0.520000;2;0.277000
0.530000;2;0.254000
0.540000;2;0.261000
0.550000;2;0.239000
0.560000;2;0.238000
0.570000;2;0.220000
0.580000;2;0.217000
0.590000;2;0.184000
0.600000;2;0.162000
0.610000;2;0.164000
0.620000;2;0.162000
0.630000;2;0.147000
0.640000;2;0.151000
0.650000;2;0.121000
0.660000;2;0.116000
0.670000;2;0.122000
0.680000;2;0.104000
0.690000;2;0.090000
0.700000;2;0.105000
0.710000;2;0.066000
0.720000;2;0.074000
0.730000;2;0.065000
0.740000;2;0.057000
0.750000;2;0.038000
0.760000;2;0.044000
0.770000;2;0.039000
0.780000;2;0.033000
0.790000;2;0.027000
0.800000;2;0.021000
0.810000;2;0.022000
0.820000;2;0.020000
0.830000;2;0.015000
0.840000;2;0.016000
0.850000;2;0.013000
0.860000;2;0.008000
0.870000;2;0.006000
0.880000;2;0.008000
0.890000;2;0.002000
0.900000;2;0.008000
0.910000;2;0.000000
0.920000;2;0.002000
0.930000;2;0.002000
0.940000;2;0.002000
0.950000;2;0.000000
0.960000;2;0.000000
0.970000;2;0.000000
0.980000;2;0.000000
0.990000;2;0.000000
1.000000;2;0.000000
0.000000;4;1.000000
0.010000;4;0.999000
0.020000;4;0.998000
0.030000;4;0.997000
0.040000;4;0.983000
0.050000;4;0.989000
0.060000;4;0.981000
0.070000;4;0.981000
0.080000;4;0.964000
0.090000;4;0.951000
0.100000;4;0.926000
0.110000;4;0.927000
0.120000;4;0.921000
0.130000;4;0.906000
0.140000;4;0.879000
0.150000;4;0.858000
0.160000;4;0.838000
0.170000;4;0.818000
0.180000;4;0.786000
0.190000;4;0.765000
0.200000;4;0.743000
0.210000;4;0.716000
0.220000;4;0.674000
0.230000;4;0.643000
0.240000;4;0.621000
0.250000;4;0.614000
0.260000;4;0.531000
0.270000;4;0.539000
0.280000;4;0.482000
0.290000;4;0.437000
0.300000;4;0.408000
0.310000;4;0.371000
0.320000;4;0.343000
0.330000;4;0.343000
0.340000;4;0.287000
0.350000;4;0.281000
0.360000;4;0.270000
0.370000;4;0.239000
0.380000;4;0.180000
0.390000;4;0.172000
0.400000;4;0.134000
0.410000;4;0.138000
0.420000;4;0.107000
0.430000;4;0.084000
0.440000;4;0.077000
0.450000;4;0.069000
0.460000;4;0.070000
0.470000;4;0.066000
0.480000;4;0.051000
0.490000;4;0.036000
0.500000;4;0.038000
0.510000;4;0.019000
0.520000;4;0.017000
0.530000;4;0.023000
0.540000;4;0.019000
0.550000;4;0.010000
0.560000;4;0.003000
0.570000;4;0.010000
0.580000;4;0.005000
0.590000;4;0.004000
0.600000;4;0.002000
0.610000;4;0.003000
0.620000;4;0.002000
0.630000;4;0.001000
0.640000;4;0.000000
0.650000;4;0.000000
0.660000;4;0.001000
0.670000;4;0.002000
0.680000;4;0.000000
0.690000;4;0.000000
0.700000;4;0.000000
0.710000;4;0.000000
0.720000;4;0.000000
0.730000;4;0.000000
0.740000;4;0.000000
0.750000;4;0.000000
0.760000;4;0.000000
0.770000;4;0.000000
0.780000;4;0.000000
0.790000;4;0.000000
0.800000;4;0.000000
0.810000;4;0.000000
0.820000;4;0.000000
0.830000;4;0.000000
0.840000;4;0.000000
0.850000;4;0.000000
0.860000;4;0.000000
0.870000;4;0.000000
0.880000;4;0.000000
0.890000;4;0.000000
0.900000;4;0.000000
0.910000;4;0.000000
0.920000;4;0.000000
0.930000;4;0.000000
0.940000;4;0.000000
0.950000;4;0.000000
0.960000;4;0.000000
0.970000;4;0.000000
0.980000;4;0.000000
0.990000;4;0.000000
1.000000;4;0.000000
0.000000;6;1.000000
0.010000;6;0.999000
0.020000;6;0.997000
0.030000;6;1.000000
0.040000;6;0.992000
0.050000;6;0.987000
0.060000;6;0.980000
0.070000;6;0.969000
0.080000;6;0.958000
0.090000;6;0.963000
0.100000;6;0.946000
0.110000;6;0.926000
0.120000;6;0.899000
0.130000;6;0.886000
0.140000;6;0.873000
0.150000;6;0.830000
0.160000;6;0.810000
0.170000;6;0.770000
0.180000;6;0.737000
0.190000;6;0.700000
0.200000;6;0.671000
0.210000;6;0.629000
0.220000;6;0.564000
0.230000;6;0.552000
0.240000;6;0.522000
0.250000;6;0.477000
0.260000;6;0.464000
0.270000;6;0.366000
0.280000;6;0.341000
0.290000;6;0.324000
0.300000;6;0.293000
0.310000;6;0.239000
0.320000;6;0.207000
0.330000;6;0.178000
0.340000;6;0.150000
0.350000;6;0.116000
0.360000;6;0.102000
0.370000;6;0.087000
0.380000;6;0.070000
0.390000;6;0.050000
0.400000;6;0.053000
0.410000;6;0.037000
0.420000;6;0.031000
0.430000;6;0.020000
0.440000;6;0.015000
0.450000;6;0.013000
0.460000;6;0.010000
0.470000;6;0.009000
0.480000;6;0.009000
0.490000;6;0.000000
0.500000;6;0.004000
0.510000;6;0.001000
0.520000;6;0.001000
0.530000;6;0.000000
0.540000;6;0.000000
0.550000;6;0.000000
0.560000;6;0.000000
0.570000;6;0.001000
0.580000;6;0.000000
0.590000;6;0.000000
0.600000;6;0.000000
0.610000;6;0.000000
0.620000;6;0.000000
0.630000;6;0.000000
0.640000;6;0.000000
0.650000;6;0.000000
0.660000;6;0.000000
0.670000;6;0.000000
0.680000;6;0.000000
0.690000;6;0.000000
0.700000;6;0.000000
0.710000;6;0.000000
0.720000;6;0.000000
0.730000;6;0.000000
0.740000;6;0.000000
0.750000;6;0.000000
0.760000;6;0.000000
0.770000;6;0.000000
0.780000;6;0.000000
0.790000;6;0.000000
0.800000;6;0.000000
0.810000;6;0.000000
0.820000;6;0.000000
0.830000;6;0.000000
0.840000;6;0.000000
0.850000;6;0.000000
0.860000;6;0.000000
0.870000;6;0.000000
0.880000;6;0.000000
0.890000;6;0.000000
0.900000;6;0.000000
0.910000;6;0.000000
0.920000;6;0.000000
0.930000;6;0.000000
0.940000;6;0.000000
0.950000;6;0.000000
0.960000;6;0.000000
0.970000;6;0.000000
0.980000;6;0.000000
0.990000;6;0.000000
1.000000;6;0.000000
0.000000;8;1.000000
0.010000;8;0.998000
0.020000;8;0.998000
0.030000;8;0.999000
0.040000;8;0.989000
0.050000;8;0.987000
0.060000;8;0.984000
0.070000;8;0.964000
0.080000;8;0.955000
0.090000;8;0.942000
0.100000;8;0.934000
0.110000;8;0.917000
0.120000;8;0.892000
0.130000;8;0.858000
0.140000;8;0.831000
0.150000;8;0.784000
0.160000;8;0.753000
0.170000;8;0.724000
0.180000;8;0.666000
0.190000;8;0.652000
0.200000;8;0.585000
0.210000;8;0.539000
0.220000;8;0.499000
0.230000;8;0.476000
0.240000;8;0.401000
0.250000;8;0.365000
0.260000;8;0.318000
0.270000;8;0.248000
0.280000;8;0.244000
0.290000;8;0.210000
0.300000;8;0.189000
0.310000;8;0.150000
0.320000;8;0.101000
0.330000;8;0.101000
0.340000;8;0.060000
0.350000;8;0.041000
0.360000;8;0.040000
0.370000;8;0.034000
0.380000;8;0.021000
0.390000;8;0.022000
0.400000;8;0.014000
0.410000;8;0.006000
0.420000;8;0.006000
0.430000;8;0.003000
0.440000;8;0.004000
0.450000;8;0.001000
0.460000;8;0.000000
0.470000;8;0.000000
0.480000;8;0.000000
0.490000;8;0.000000
0.500000;8;0.000000
0.510000;8;0.000000
0.520000;8;0.000000
0.530000;8;0.000000
0.540000;8;0.000000
0.550000;8;0.000000
0.560000;8;0.000000
0.570000;8;0.000000
0.580000;8;0.000000
0.590000;8;0.000000
0.600000;8;0.000000
0.610000;8;0.000000
0.620000;8;0.000000
0.630000;8;0.000000
0.640000;8;0.000000
0.650000;8;0.000000
0.660000;8;0.000000
0.670000;8;0.000000
0.680000;8;0.000000
0.690000;8;0.000000
0.700000;8;0.000000
0.710000;8;0.000000
0.720000;8;0.000000
0.730000;8;0.000000
0.740000;8;0.000000
0.750000;8;0.000000
0.760000;8;0.000000
0.770000;8;0.000000
0.780000;8;0.000000
0.790000;8;0.000000
0.800000;8;0.000000
0.810000;8;0.000000
0.820000;8;0.000000
0.830000;8;0.000000
0.840000;8;0.000000
0.850000;8;0.000000
0.860000;8;0.000000
0.870000;8;0.000000
0.880000;8;0.000000
0.890000;8;0.000000
0.900000;8;0.000000
0.910000;8;0.000000
0.920000;8;0.000000
0.930000;8;0.000000
0.940000;8;0.000000
0.950000;8;0.000000
0.960000;8;0.000000
0.970000;8;0.000000
0.980000;8;0.000000
0.990000;8;0.000000
1.000000;8;0.000000
0.000000;10;1.000000
0.010000;10;1.000000
0.020000;10;0.999000
0.030000;10;0.995000
0.040000;10;0.986000
0.050000;10;0.982000
0.060000;10;0.975000
0.070000;10;0.960000
0.080000;10;0.950000
0.090000;10;0.940000
0.100000;10;0.909000
0.110000;10;0.883000
0.120000;10;0.871000
0.130000;10;0.848000
0.140000;10;0.788000
0.150000;10;0.735000
0.160000;10;0.723000
0.170000;10;0.683000
0.180000;10;0.626000
0.190000;10;0.549000
0.200000;10;0.539000
0.210000;10;0.477000
0.220000;10;0.436000
0.230000;10;0.378000
0.240000;10;0.319000
0.250000;10;0.284000
0.260000;10;0.234000
0.270000;10;0.216000
0.280000;10;0.149000
0.290000;10;0.136000
0.300000;10;0.104000
0.310000;10;0.072000
0.320000;10;0.064000
0.330000;10;0.036000
0.340000;10;0.031000
0.350000;10;0.021000
0.360000;10;0.008000
0.370000;10;0.009000
0.380000;10;0.009000
0.390000;10;0.005000
0.400000;10;0.003000
0.410000;10;0.001000
0.420000;10;0.000000
0.430000;10;0.001000
0.440000;10;0.000000
0.450000;10;0.001000
0.460000;10;0.000000
0.470000;10;0.000000
0.480000;10;0.000000
0.490000;10;0.000000
0.500000;10;0.000000
0.510000;10;0.000000
0.520000;10;0.000000
0.530000;10;0.000000
0.540000;10;0.000000
0.550000;10;0.000000
0.560000;10;0.000000
0.570000;10;0.000000
0.580000;10;0.000000
0.590000;10;0.000000
0.600000;10;0.000000
0.610000;10;0.000000
0.620000;10;0.000000
0.630000;10;0.000000
0.640000;10;0.000000
0.650000;10;0.000000
0.660000;10;0.000000
0.670000;10;0.000000
0.680000;10;0.000000
0.690000;10;0.000000
0.700000;10;0.000000
0.710000;10;0.000000
0.720000;10;0.000000
0.730000;10;0.000000
0.740000;10;0.000000
0.750000;10;0.000000
0.760000;10;0.000000
0.770000;10;0.000000
0.780000;10;0.000000
0.790000;10;0.000000
0.800000;10;0.000000
0.810000;10;0.000000
0.820000;10;0.000000
0.830000;10;0.000000
0.840000;10;0.000000
0.850000;10;0.000000
0.860000;10;0.000000
0.870000;10;0.000000
0.880000;10;0.000000
0.890000;10;0.000000
0.900000;10;0.000000
0.910000;10;0.000000
0.920000;10;0.000000
