p;n;connectedGraphsPercentatge
0.000000;20;1.000000
0.010000;20;0.999000
0.020000;20;0.998000
0.030000;20;0.992000
0.040000;20;0.987000
0.050000;20;0.984000
0.060000;20;0.966000
0.070000;20;0.953000
0.080000;20;0.918000
0.090000;20;0.879000
0.100000;20;0.850000
0.110000;20;0.800000
0.120000;20;0.754000
0.130000;20;0.717000
0.140000;20;0.607000
0.150000;20;0.585000
0.160000;20;0.507000
0.170000;20;0.448000
0.180000;20;0.355000
0.190000;20;0.286000
0.200000;20;0.238000
0.210000;20;0.185000
0.220000;20;0.118000
0.230000;20;0.100000
0.240000;20;0.067000
0.250000;20;0.030000
0.260000;20;0.023000
0.270000;20;0.023000
0.280000;20;0.010000
0.290000;20;0.008000
0.300000;20;0.004000
0.310000;20;0.003000
0.320000;20;0.000000
0.330000;20;0.001000
0.340000;20;0.000000
0.350000;20;0.000000
0.360000;20;0.000000
0.370000;20;0.000000
0.380000;20;0.000000
0.390000;20;0.000000
0.400000;20;0.000000
0.410000;20;0.000000
0.420000;20;0.000000
0.430000;20;0.000000
0.440000;20;0.000000
0.450000;20;0.000000
0.460000;20;0.000000
0.470000;20;0.000000
0.480000;20;0.000000
0.490000;20;0.000000
0.500000;20;0.000000
0.510000;20;0.000000
0.520000;20;0.000000
0.530000;20;0.000000
0.540000;20;0.000000
0.550000;20;0.000000
0.560000;20;0.000000
0.570000;20;0.000000
0.580000;20;0.000000
0.590000;20;0.000000
0.600000;20;0.000000
0.610000;20;0.000000
0.620000;20;0.000000
0.630000;20;0.000000
0.640000;20;0.000000
0.650000;20;0.000000
0.660000;20;0.000000
0.670000;20;0.000000
0.680000;20;0.000000
0.690000;20;0.000000
0.700000;20;0.000000
0.710000;20;0.000000
0.720000;20;0.000000
0.730000;20;0.000000
0.740000;20;0.000000
0.750000;20;0.000000
0.760000;20;0.000000
0.770000;20;0.000000
0.780000;20;0.000000
0.790000;20;0.000000
0.800000;20;0.000000
0.810000;20;0.000000
0.820000;20;0.000000
0.830000;20;0.000000
0.840000;20;0.000000
0.850000;20;0.000000
0.860000;20;0.000000
0.870000;20;0.000000
0.880000;20;0.000000
0.890000;20;0.000000
0.900000;20;0.000000
0.910000;20;0.000000
0.920000;20;0.000000
0.930000;20;0.000000
0.940000;20;0.000000
0.950000;20;0.000000
0.960000;20;0.000000
0.970000;20;0.000000
0.980000;20;0.000000
0.990000;20;0.000000
1.000000;20;0.000000
0.000000;40;1.000000
0.010000;40;1.000000
0.020000;40;0.998000
0.030000;40;0.990000
0.040000;40;0.974000
0.050000;40;0.965000
0.060000;40;0.928000
0.070000;40;0.884000
0.080000;40;0.837000
0.090000;40;0.776000
0.100000;40;0.682000
0.110000;40;0.607000
0.120000;40;0.517000
0.130000;40;0.434000
0.140000;40;0.342000
0.150000;40;0.228000
0.160000;40;0.174000
0.170000;40;0.094000
0.180000;40;0.064000
0.190000;40;0.042000
0.200000;40;0.021000
0.210000;40;0.007000
0.220000;40;0.000000
0.230000;40;0.001000
0.240000;40;0.000000
0.250000;40;0.000000
0.260000;40;0.000000
0.270000;40;0.000000
0.280000;40;0.000000
0.290000;40;0.000000
0.300000;40;0.000000
0.310000;40;0.000000
0.320000;40;0.000000
0.330000;40;0.000000
0.340000;40;0.000000
0.350000;40;0.000000
