p;n;connectedGraphsPercentatge
0.000000;50;1.000000
0.010000;50;1.000000
0.020000;50;1.000000
0.030000;50;1.000000
0.040000;50;1.000000
0.050000;50;1.000000
0.060000;50;1.000000
0.070000;50;1.000000
0.080000;50;1.000000
0.090000;50;1.000000
0.100000;50;1.000000
0.110000;50;1.000000
0.120000;50;1.000000
0.130000;50;1.000000
0.140000;50;0.999000
0.150000;50;1.000000
0.160000;50;0.997000
0.170000;50;0.998000
0.180000;50;0.998000
0.190000;50;0.999000
0.200000;50;0.998000
0.210000;50;0.994000
0.220000;50;0.991000
0.230000;50;0.986000
0.240000;50;0.983000
0.250000;50;0.985000
0.260000;50;0.985000
0.270000;50;0.981000
0.280000;50;0.967000
0.290000;50;0.973000
0.300000;50;0.951000
0.310000;50;0.944000
0.320000;50;0.944000
0.330000;50;0.928000
0.340000;50;0.932000
0.350000;50;0.912000
0.360000;50;0.887000
0.370000;50;0.901000
0.380000;50;0.869000
0.390000;50;0.846000
0.400000;50;0.842000
0.410000;50;0.819000
0.420000;50;0.771000
0.430000;50;0.733000
0.440000;50;0.726000
0.450000;50;0.688000
0.460000;50;0.650000
0.470000;50;0.651000
0.480000;50;0.592000
0.490000;50;0.565000
0.500000;50;0.513000
0.510000;50;0.468000
0.520000;50;0.462000
0.530000;50;0.384000
0.540000;50;0.385000
0.550000;50;0.351000
0.560000;50;0.301000
0.570000;50;0.237000
0.580000;50;0.214000
0.590000;50;0.222000
0.600000;50;0.153000
0.610000;50;0.133000
0.620000;50;0.111000
0.630000;50;0.081000
0.640000;50;0.082000
0.650000;50;0.043000
0.660000;50;0.040000
0.670000;50;0.032000
0.680000;50;0.029000
0.690000;50;0.006000
0.700000;50;0.009000
0.710000;50;0.004000
0.720000;50;0.007000
0.730000;50;0.002000
0.740000;50;0.001000
0.750000;50;0.000000
0.760000;50;0.000000
0.770000;50;0.000000
0.780000;50;0.000000
0.790000;50;0.000000
0.800000;50;0.000000
0.810000;50;0.000000
0.820000;50;0.000000
0.830000;50;0.000000
0.840000;50;0.000000
0.850000;50;0.000000
0.860000;50;0.000000
0.870000;50;0.000000
0.880000;50;0.000000
0.890000;50;0.000000
0.900000;50;0.000000
0.910000;50;0.000000
0.920000;50;0.000000
0.930000;50;0.000000
0.940000;50;0.000000
0.950000;50;0.000000
0.960000;50;0.000000
0.970000;50;0.000000
0.980000;50;0.000000
0.990000;50;0.000000
1.000000;50;0.000000
0.000000;100;1.000000
0.010000;100;1.000000
0.020000;100;1.000000
0.030000;100;1.000000
0.040000;100;1.000000
0.050000;100;1.000000
0.060000;100;1.000000
0.070000;100;1.000000
0.080000;100;1.000000
0.090000;100;1.000000
0.100000;100;1.000000
0.110000;100;0.999000
0.120000;100;1.000000
0.130000;100;1.000000
0.140000;100;0.998000
0.150000;100;0.999000
0.160000;100;0.998000
0.170000;100;0.996000
0.180000;100;0.997000
0.190000;100;0.993000
0.200000;100;0.991000
0.210000;100;0.990000
0.220000;100;0.982000
0.230000;100;0.984000
0.240000;100;0.969000
0.250000;100;0.970000
0.260000;100;0.962000
0.270000;100;0.957000
0.280000;100;0.944000
0.290000;100;0.915000
0.300000;100;0.919000
0.310000;100;0.898000
0.320000;100;0.890000
0.330000;100;0.847000
0.340000;100;0.859000
0.350000;100;0.823000
0.360000;100;0.809000
0.370000;100;0.778000
0.380000;100;0.761000
0.390000;100;0.698000
0.400000;100;0.700000
0.410000;100;0.611000
0.420000;100;0.609000
0.430000;100;0.570000
0.440000;100;0.537000
0.450000;100;0.476000
0.460000;100;0.444000
0.470000;100;0.387000
0.480000;100;0.342000
0.490000;100;0.305000
0.500000;100;0.253000
0.510000;100;0.221000
0.520000;100;0.189000
0.530000;100;0.158000
0.540000;100;0.122000
0.550000;100;0.109000
0.560000;100;0.084000
