p;n;connectedGraphsPercentatge
0.000000;10;1.000000
0.010000;10;0.998000
0.020000;10;0.986000
0.030000;10;0.986000
0.040000;10;0.967000
0.050000;10;0.961000
0.060000;10;0.955000
0.070000;10;0.959000
0.080000;10;0.940000
0.090000;10;0.943000
0.100000;10;0.948000
0.110000;10;0.919000
0.120000;10;0.918000
0.130000;10;0.909000
0.140000;10;0.885000
0.150000;10;0.875000
0.160000;10;0.884000
0.170000;10;0.853000
0.180000;10;0.839000
0.190000;10;0.847000
0.200000;10;0.814000
0.210000;10;0.798000
0.220000;10;0.795000
0.230000;10;0.781000
0.240000;10;0.775000
0.250000;10;0.783000
0.260000;10;0.761000
0.270000;10;0.743000
0.280000;10;0.714000
0.290000;10;0.702000
0.300000;10;0.685000
0.310000;10;0.681000
0.320000;10;0.655000
0.330000;10;0.651000
0.340000;10;0.598000
0.350000;10;0.617000
0.360000;10;0.594000
0.370000;10;0.572000
0.380000;10;0.600000
0.390000;10;0.551000
0.400000;10;0.548000
0.410000;10;0.500000
0.420000;10;0.491000
0.430000;10;0.446000
0.440000;10;0.485000
0.450000;10;0.447000
0.460000;10;0.425000
0.470000;10;0.425000
0.480000;10;0.386000
0.490000;10;0.367000
0.500000;10;0.359000
0.510000;10;0.300000
0.520000;10;0.305000
0.530000;10;0.291000
0.540000;10;0.252000
0.550000;10;0.245000
0.560000;10;0.238000
0.570000;10;0.248000
0.580000;10;0.190000
0.590000;10;0.177000
0.600000;10;0.172000
0.610000;10;0.158000
0.620000;10;0.156000
0.630000;10;0.154000
0.640000;10;0.115000
0.650000;10;0.096000
0.660000;10;0.089000
0.670000;10;0.073000
0.680000;10;0.062000
0.690000;10;0.059000
0.700000;10;0.044000
0.710000;10;0.039000
0.720000;10;0.035000
0.730000;10;0.038000
0.740000;10;0.023000
0.750000;10;0.018000
0.760000;10;0.021000
0.770000;10;0.012000
0.780000;10;0.012000
0.790000;10;0.009000
0.800000;10;0.002000
0.810000;10;0.003000
0.820000;10;0.002000
0.830000;10;0.005000
0.840000;10;0.000000
0.850000;10;0.002000
0.860000;10;0.000000
0.870000;10;0.002000
0.880000;10;0.000000
0.890000;10;0.002000
0.900000;10;0.000000
0.910000;10;0.000000
0.920000;10;0.000000
0.930000;10;0.000000
0.940000;10;0.000000
0.950000;10;0.000000
