p;n;connectedGraphsPercentatge
0.000000;2;1.000000
0.010000;2;1.000000
0.020000;2;0.999000
0.030000;2;1.000000
0.040000;2;0.998000
0.050000;2;0.996000
0.060000;2;0.994000
0.070000;2;0.995000
0.080000;2;0.991000
0.090000;2;0.988000
0.100000;2;0.976000
0.110000;2;0.984000
0.120000;2;0.977000
0.130000;2;0.979000
0.140000;2;0.958000
0.150000;2;0.957000
0.160000;2;0.968000
0.170000;2;0.964000
0.180000;2;0.952000
0.190000;2;0.951000
0.200000;2;0.939000
0.210000;2;0.944000
0.220000;2;0.935000
0.230000;2;0.941000
0.240000;2;0.928000
0.250000;2;0.939000
0.260000;2;0.929000
0.270000;2;0.913000
0.280000;2;0.914000
0.290000;2;0.903000
0.300000;2;0.917000
0.310000;2;0.900000
0.320000;2;0.909000
0.330000;2;0.891000
0.340000;2;0.874000
0.350000;2;0.894000
0.360000;2;0.877000
0.370000;2;0.866000
0.380000;2;0.871000
0.390000;2;0.860000
0.400000;2;0.871000
0.410000;2;0.867000
0.420000;2;0.862000
0.430000;2;0.867000
0.440000;2;0.834000
0.450000;2;0.837000
0.460000;2;0.806000
0.470000;2;0.809000
0.480000;2;0.823000
0.490000;2;0.828000
0.500000;2;0.800000
0.510000;2;0.815000
0.520000;2;0.805000
0.530000;2;0.780000
0.540000;2;0.797000
0.550000;2;0.772000
0.560000;2;0.762000
0.570000;2;0.788000
0.580000;2;0.787000
0.590000;2;0.739000
0.600000;2;0.758000
0.610000;2;0.758000
0.620000;2;0.756000
0.630000;2;0.717000
0.640000;2;0.751000
0.650000;2;0.705000
0.660000;2;0.716000
0.670000;2;0.712000
0.680000;2;0.675000
0.690000;2;0.710000
0.700000;2;0.659000
0.710000;2;0.647000
0.720000;2;0.676000
0.730000;2;0.628000
0.740000;2;0.638000
0.750000;2;0.594000
0.760000;2;0.568000
0.770000;2;0.600000
0.780000;2;0.584000
0.790000;2;0.548000
0.800000;2;0.544000
0.810000;2;0.558000
0.820000;2;0.542000
0.830000;2;0.477000
0.840000;2;0.443000
0.850000;2;0.444000
0.860000;2;0.423000
0.870000;2;0.406000
0.880000;2;0.419000
0.890000;2;0.336000
0.900000;2;0.357000
0.910000;2;0.340000
0.920000;2;0.297000
0.930000;2;0.270000
0.940000;2;0.210000
0.950000;2;0.181000
0.960000;2;0.173000
0.970000;2;0.114000
0.980000;2;0.079000
0.990000;2;0.038000
1.000000;2;0.000000
0.000000;4;1.000000
0.010000;4;0.999000
0.020000;4;0.997000
0.030000;4;0.997000
0.040000;4;0.989000
0.050000;4;0.986000
0.060000;4;0.987000
0.070000;4;0.979000
0.080000;4;0.967000
0.090000;4;0.954000
0.100000;4;0.948000
0.110000;4;0.937000
0.120000;4;0.896000
0.130000;4;0.904000
0.140000;4;0.901000
0.150000;4;0.869000
0.160000;4;0.828000
0.170000;4;0.794000
0.180000;4;0.822000
0.190000;4;0.792000
0.200000;4;0.786000
0.210000;4;0.764000
0.220000;4;0.732000
0.230000;4;0.688000
0.240000;4;0.667000
0.250000;4;0.684000
0.260000;4;0.646000
0.270000;4;0.615000
0.280000;4;0.579000
0.290000;4;0.548000
0.300000;4;0.514000
0.310000;4;0.484000
0.320000;4;0.507000
0.330000;4;0.436000
0.340000;4;0.446000
0.350000;4;0.387000
0.360000;4;0.410000
0.370000;4;0.365000
0.380000;4;0.350000
0.390000;4;0.329000
0.400000;4;0.313000
0.410000;4;0.290000
0.420000;4;0.301000
0.430000;4;0.258000
0.440000;4;0.254000
0.450000;4;0.275000
0.460000;4;0.219000
0.470000;4;0.211000
0.480000;4;0.217000
0.490000;4;0.197000
0.500000;4;0.163000
0.510000;4;0.171000
0.520000;4;0.147000
0.530000;4;0.132000
0.540000;4;0.140000
0.550000;4;0.116000
0.560000;4;0.120000
0.570000;4;0.112000
0.580000;4;0.128000
0.590000;4;0.111000
0.600000;4;0.094000
0.610000;4;0.102000
0.620000;4;0.106000
0.630000;4;0.098000
0.640000;4;0.086000
0.650000;4;0.089000
0.660000;4;0.077000
0.670000;4;0.104000
0.680000;4;0.097000
0.690000;4;0.116000
0.700000;4;0.128000
0.710000;4;0.116000
0.720000;4;0.116000
0.730000;4;0.123000
0.740000;4;0.122000
0.750000;4;0.118000
0.760000;4;0.147000
0.770000;4;0.151000
0.780000;4;0.187000
0.790000;4;0.171000
0.800000;4;0.187000
0.810000;4;0.221000
0.820000;4;0.253000
0.830000;4;0.256000
0.840000;4;0.271000
0.850000;4;0.292000
0.860000;4;0.317000
0.870000;4;0.330000
0.880000;4;0.402000
0.890000;4;0.367000
0.900000;4;0.414000
0.910000;4;0.425000
0.920000;4;0.425000
0.930000;4;0.421000
0.940000;4;0.389000
0.950000;4;0.399000
0.960000;4;0.389000
0.970000;4;0.311000
0.980000;4;0.241000
0.990000;4;0.144000
1.000000;4;0.000000
0.000000;6;1.000000
0.010000;6;0.999000
0.020000;6;0.998000
0.030000;6;0.994000
0.040000;6;0.993000
0.050000;6;0.984000
0.060000;6;0.979000
0.070000;6;0.965000
0.080000;6;0.970000
0.090000;6;0.954000
0.100000;6;0.940000
0.110000;6;0.923000
0.120000;6;0.896000
0.130000;6;0.866000
0.140000;6;0.839000
0.150000;6;0.851000
0.160000;6;0.809000
0.170000;6;0.764000
0.180000;6;0.750000
0.190000;6;0.704000
0.200000;6;0.681000
0.210000;6;0.638000
0.220000;6;0.591000
0.230000;6;0.587000
0.240000;6;0.531000
0.250000;6;0.527000
0.260000;6;0.496000
0.270000;6;0.434000
0.280000;6;0.419000
0.290000;6;0.353000
0.300000;6;0.340000
0.310000;6;0.322000
0.320000;6;0.273000
0.330000;6;0.271000
0.340000;6;0.225000
0.350000;6;0.233000
0.360000;6;0.184000
0.370000;6;0.174000
0.380000;6;0.138000
0.390000;6;0.132000
0.400000;6;0.097000
0.410000;6;0.095000
0.420000;6;0.078000
0.430000;6;0.092000
0.440000;6;0.057000
0.450000;6;0.059000
0.460000;6;0.050000
0.470000;6;0.045000
0.480000;6;0.036000
0.490000;6;0.022000
0.500000;6;0.022000
0.510000;6;0.025000
0.520000;6;0.013000
0.530000;6;0.017000
0.540000;6;0.008000
0.550000;6;0.016000
0.560000;6;0.007000
0.570000;6;0.010000
0.580000;6;0.008000
0.590000;6;0.005000
0.600000;6;0.004000
0.610000;6;0.001000
0.620000;6;0.003000
0.630000;6;0.003000
0.640000;6;0.004000
0.650000;6;0.005000
0.660000;6;0.004000
0.670000;6;0.001000
0.680000;6;0.003000
0.690000;6;0.002000
0.700000;6;0.002000
0.710000;6;0.000000
0.720000;6;0.001000
0.730000;6;0.002000
0.740000;6;0.003000
0.750000;6;0.001000
0.760000;6;0.002000
0.770000;6;0.002000
0.780000;6;0.005000
0.790000;6;0.004000
0.800000;6;0.001000
0.810000;6;0.008000
0.820000;6;0.013000
0.830000;6;0.013000
0.840000;6;0.024000
0.850000;6;0.029000
0.860000;6;0.040000
0.870000;6;0.043000
0.880000;6;0.061000
0.890000;6;0.085000
0.900000;6;0.110000
0.910000;6;0.137000
0.920000;6;0.204000
0.930000;6;0.251000
0.940000;6;0.276000
0.950000;6;0.350000
0.960000;6;0.400000
0.970000;6;0.368000
0.980000;6;0.380000
0.990000;6;0.261000
1.000000;6;0.000000
0.000000;8;1.000000
0.010000;8;0.999000
0.020000;8;0.998000
0.030000;8;0.994000
0.040000;8;0.990000
0.050000;8;0.980000
0.060000;8;0.977000
0.070000;8;0.973000
0.080000;8;0.960000
0.090000;8;0.949000
0.100000;8;0.923000
0.110000;8;0.886000
0.120000;8;0.885000
0.130000;8;0.859000
0.140000;8;0.838000
0.150000;8;0.811000
0.160000;8;0.771000
0.170000;8;0.740000
0.180000;8;0.708000
0.190000;8;0.673000
0.200000;8;0.623000
0.210000;8;0.573000
0.220000;8;0.504000
0.230000;8;0.514000
0.240000;8;0.460000
0.250000;8;0.428000
0.260000;8;0.376000
0.270000;8;0.323000
0.280000;8;0.310000
0.290000;8;0.280000
0.300000;8;0.236000
0.310000;8;0.216000
0.320000;8;0.181000
0.330000;8;0.145000
0.340000;8;0.120000
0.350000;8;0.106000
0.360000;8;0.085000
0.370000;8;0.073000
0.380000;8;0.065000
0.390000;8;0.046000
0.400000;8;0.046000
0.410000;8;0.019000
0.420000;8;0.031000
0.430000;8;0.024000
0.440000;8;0.015000
0.450000;8;0.013000
0.460000;8;0.010000
0.470000;8;0.008000
0.480000;8;0.005000
0.490000;8;0.005000
0.500000;8;0.001000
0.510000;8;0.000000
0.520000;8;0.000000
0.530000;8;0.002000
0.540000;8;0.000000
0.550000;8;0.002000
0.560000;8;0.001000
0.570000;8;0.000000
0.580000;8;0.000000
0.590000;8;0.000000
0.600000;8;0.000000
0.610000;8;0.000000
0.620000;8;0.001000
0.630000;8;0.000000
0.640000;8;0.000000
0.650000;8;0.000000
0.660000;8;0.000000
0.670000;8;0.000000
0.680000;8;0.000000
0.690000;8;0.000000
0.700000;8;0.000000
0.710000;8;0.000000
0.720000;8;0.000000
0.730000;8;0.000000
0.740000;8;0.000000
0.750000;8;0.000000
0.760000;8;0.000000
0.770000;8;0.000000
0.780000;8;0.000000
0.790000;8;0.000000
0.800000;8;0.000000
0.810000;8;0.000000
0.820000;8;0.000000
0.830000;8;0.000000
0.840000;8;0.000000
0.850000;8;0.000000
0.860000;8;0.001000
0.870000;8;0.001000
0.880000;8;0.003000
0.890000;8;0.013000
0.900000;8;0.010000
0.910000;8;0.016000
0.920000;8;0.033000
0.930000;8;0.053000
0.940000;8;0.092000
0.950000;8;0.150000
0.960000;8;0.209000
0.970000;8;0.303000
0.980000;8;0.374000
0.990000;8;0.331000
1.000000;8;0.000000
0.000000;10;1.000000
0.010000;10;0.999000
0.020000;10;0.999000
0.030000;10;0.996000
0.040000;10;0.995000
0.050000;10;0.982000
0.060000;10;0.976000
0.070000;10;0.959000
0.080000;10;0.957000
0.090000;10;0.924000
0.100000;10;0.922000
0.110000;10;0.906000
0.120000;10;0.862000
0.130000;10;0.847000
0.140000;10;0.797000
0.150000;10;0.764000
0.160000;10;0.724000
0.170000;10;0.677000
0.180000;10;0.596000
0.190000;10;0.612000
0.200000;10;0.589000
0.210000;10;0.512000
0.220000;10;0.478000
0.230000;10;0.413000
0.240000;10;0.388000
0.250000;10;0.329000
0.260000;10;0.299000
0.270000;10;0.245000
0.280000;10;0.208000
0.290000;10;0.184000
0.300000;10;0.152000
0.310000;10;0.125000
0.320000;10;0.109000
0.330000;10;0.069000
0.340000;10;0.061000
0.350000;10;0.051000
0.360000;10;0.041000
0.370000;10;0.026000
0.380000;10;0.016000
0.390000;10;0.020000
0.400000;10;0.014000
0.410000;10;0.007000
0.420000;10;0.005000
0.430000;10;0.005000
0.440000;10;0.004000
0.450000;10;0.000000
0.460000;10;0.000000
0.470000;10;0.000000
0.480000;10;0.001000
0.490000;10;0.001000
0.500000;10;0.000000
0.510000;10;0.000000
0.520000;10;0.000000
0.530000;10;0.000000
0.540000;10;0.000000
0.550000;10;0.000000
0.560000;10;0.000000
0.570000;10;0.000000
0.580000;10;0.000000
0.590000;10;0.000000
0.600000;10;0.000000
0.610000;10;0.000000
0.620000;10;0.000000
0.630000;10;0.000000
0.640000;10;0.000000
0.650000;10;0.000000
0.660000;10;0.000000
0.670000;10;0.000000
0.680000;10;0.000000
0.690000;10;0.000000
0.700000;10;0.000000
0.710000;10;0.000000
0.720000;10;0.000000
0.730000;10;0.000000
0.740000;10;0.000000
0.750000;10;0.000000
0.760000;10;0.000000
0.770000;10;0.000000
0.780000;10;0.000000
0.790000;10;0.000000
0.800000;10;0.000000
0.810000;10;0.000000
0.820000;10;0.000000
0.830000;10;0.000000
0.840000;10;0.000000
0.850000;10;0.000000
0.860000;10;0.001000
0.870000;10;0.000000
0.880000;10;0.000000
0.890000;10;0.000000
0.900000;10;0.000000
0.910000;10;0.001000
0.920000;10;0.002000
