p;n;connectedGraphsPercentatge
0.000000;50;1.000000
0.010000;50;0.999000
0.020000;50;0.999000
0.030000;50;0.998000
0.040000;50;0.996000
0.050000;50;0.992000
0.060000;50;0.990000
0.070000;50;0.985000
0.080000;50;0.978000
0.090000;50;0.954000
0.100000;50;0.960000
0.110000;50;0.936000
0.120000;50;0.928000
0.130000;50;0.901000
0.140000;50;0.859000
0.150000;50;0.852000
0.160000;50;0.819000
0.170000;50;0.773000
0.180000;50;0.746000
0.190000;50;0.713000
0.200000;50;0.638000
0.210000;50;0.597000
0.220000;50;0.537000
0.230000;50;0.477000
0.240000;50;0.410000
0.250000;50;0.327000
0.260000;50;0.281000
0.270000;50;0.225000
0.280000;50;0.166000
0.290000;50;0.127000
0.300000;50;0.092000
0.310000;50;0.051000
0.320000;50;0.042000
0.330000;50;0.026000
0.340000;50;0.014000
0.350000;50;0.010000
0.360000;50;0.003000
0.370000;50;0.001000
0.380000;50;0.001000
0.390000;50;0.001000
0.400000;50;0.000000
0.410000;50;0.000000
0.420000;50;0.000000
0.430000;50;0.000000
0.440000;50;0.000000
0.450000;50;0.000000
0.460000;50;0.000000
0.470000;50;0.000000
0.480000;50;0.000000
0.490000;50;0.000000
0.500000;50;0.000000
0.510000;50;0.000000
0.520000;50;0.000000
0.530000;50;0.000000
0.540000;50;0.000000
0.550000;50;0.000000
0.560000;50;0.000000
0.570000;50;0.000000
0.580000;50;0.000000
0.590000;50;0.000000
0.600000;50;0.000000
0.610000;50;0.000000
0.620000;50;0.000000
0.630000;50;0.000000
0.640000;50;0.000000
0.650000;50;0.000000
0.660000;50;0.000000
0.670000;50;0.000000
0.680000;50;0.000000
0.690000;50;0.000000
0.700000;50;0.000000
0.710000;50;0.000000
0.720000;50;0.000000
0.730000;50;0.000000
0.740000;50;0.000000
0.750000;50;0.000000
0.760000;50;0.000000
0.770000;50;0.000000
0.780000;50;0.000000
0.790000;50;0.000000
0.800000;50;0.000000
0.810000;50;0.000000
0.820000;50;0.000000
0.830000;50;0.000000
0.840000;50;0.000000
0.850000;50;0.000000
0.860000;50;0.000000
0.870000;50;0.000000
0.880000;50;0.000000
0.890000;50;0.000000
0.900000;50;0.000000
0.910000;50;0.000000
0.920000;50;0.000000
0.930000;50;0.000000
0.940000;50;0.000000
0.950000;50;0.000000
0.960000;50;0.000000
0.970000;50;0.000000
0.980000;50;0.000000
0.990000;50;0.000000
1.000000;50;0.000000
0.000000;60;1.000000
0.010000;60;1.000000
0.020000;60;0.999000
0.030000;60;1.000000
0.040000;60;0.993000
0.050000;60;0.996000
0.060000;60;0.980000
0.070000;60;0.976000
0.080000;60;0.981000
0.090000;60;0.966000
0.100000;60;0.941000
0.110000;60;0.926000
0.120000;60;0.914000
0.130000;60;0.882000
0.140000;60;0.876000
0.150000;60;0.849000
0.160000;60;0.801000
0.170000;60;0.728000
0.180000;60;0.715000
0.190000;60;0.663000
0.200000;60;0.569000
0.210000;60;0.510000
0.220000;60;0.441000
0.230000;60;0.406000
0.240000;60;0.339000
0.250000;60;0.269000
0.260000;60;0.197000
0.270000;60;0.158000
0.280000;60;0.098000
0.290000;60;0.089000
0.300000;60;0.045000
0.310000;60;0.036000
0.320000;60;0.018000
0.330000;60;0.008000
0.340000;60;0.004000
0.350000;60;0.000000
0.360000;60;0.000000
0.370000;60;0.001000
0.380000;60;0.000000
0.390000;60;0.000000
0.400000;60;0.000000
0.410000;60;0.000000
0.420000;60;0.000000
0.430000;60;0.000000
0.440000;60;0.000000
0.450000;60;0.000000
0.460000;60;0.000000
0.470000;60;0.000000
0.480000;60;0.000000
0.490000;60;0.000000
0.500000;60;0.000000
0.510000;60;0.000000
0.520000;60;0.000000
0.530000;60;0.000000
0.540000;60;0.000000
0.550000;60;0.000000
0.560000;60;0.000000
0.570000;60;0.000000
0.580000;60;0.000000
0.590000;60;0.000000
0.600000;60;0.000000
0.610000;60;0.000000
0.620000;60;0.000000
0.630000;60;0.000000
0.640000;60;0.000000
0.650000;60;0.000000
0.660000;60;0.000000
0.670000;60;0.000000
0.680000;60;0.000000
0.690000;60;0.000000
0.700000;60;0.000000
0.710000;60;0.000000
0.720000;60;0.000000
0.730000;60;0.000000
0.740000;60;0.000000
0.750000;60;0.000000
0.760000;60;0.000000
0.770000;60;0.000000
0.780000;60;0.000000
0.790000;60;0.000000
0.800000;60;0.000000
0.810000;60;0.000000
0.820000;60;0.000000
0.830000;60;0.000000
0.840000;60;0.000000
0.850000;60;0.000000
0.860000;60;0.000000
0.870000;60;0.000000
0.880000;60;0.000000
0.890000;60;0.000000
0.900000;60;0.000000
0.910000;60;0.000000
0.920000;60;0.000000
0.930000;60;0.000000
0.940000;60;0.000000
0.950000;60;0.000000
0.960000;60;0.000000
0.970000;60;0.000000
0.980000;60;0.000000
0.990000;60;0.000000
1.000000;60;0.000000
0.000000;70;1.000000
0.010000;70;1.000000
0.020000;70;0.997000
0.030000;70;0.998000
0.040000;70;0.995000
0.050000;70;0.996000
0.060000;70;0.989000
0.070000;70;0.977000
0.080000;70;0.973000
0.090000;70;0.962000
0.100000;70;0.943000
0.110000;70;0.938000
0.120000;70;0.913000
0.130000;70;0.881000
0.140000;70;0.857000
0.150000;70;0.835000
0.160000;70;0.779000
0.170000;70;0.728000
0.180000;70;0.680000
0.190000;70;0.620000
0.200000;70;0.546000
0.210000;70;0.502000
0.220000;70;0.400000
0.230000;70;0.302000
0.240000;70;0.258000
0.250000;70;0.193000
0.260000;70;0.144000
0.270000;70;0.086000
0.280000;70;0.066000
0.290000;70;0.037000
0.300000;70;0.022000
0.310000;70;0.018000
0.320000;70;0.003000
0.330000;70;0.003000
0.340000;70;0.002000
0.350000;70;0.002000
0.360000;70;0.000000
0.370000;70;0.000000
0.380000;70;0.000000
0.390000;70;0.000000
0.400000;70;0.000000
0.410000;70;0.000000
0.420000;70;0.000000
0.430000;70;0.000000
0.440000;70;0.000000
0.450000;70;0.000000
0.460000;70;0.000000
0.470000;70;0.000000
0.480000;70;0.000000
0.490000;70;0.000000
0.500000;70;0.000000
0.510000;70;0.000000
0.520000;70;0.000000
0.530000;70;0.000000
0.540000;70;0.000000
0.550000;70;0.000000
0.560000;70;0.000000
0.570000;70;0.000000
0.580000;70;0.000000
0.590000;70;0.000000
0.600000;70;0.000000
0.610000;70;0.000000
0.620000;70;0.000000
0.630000;70;0.000000
0.640000;70;0.000000
0.650000;70;0.000000
0.660000;70;0.000000
0.670000;70;0.000000
0.680000;70;0.000000
0.690000;70;0.000000
0.700000;70;0.000000
0.710000;70;0.000000
0.720000;70;0.000000
0.730000;70;0.000000
0.740000;70;0.000000
0.750000;70;0.000000
0.760000;70;0.000000
0.770000;70;0.000000
0.780000;70;0.000000
0.790000;70;0.000000
0.800000;70;0.000000
0.810000;70;0.000000
0.820000;70;0.000000
0.830000;70;0.000000
0.840000;70;0.000000
0.850000;70;0.000000
0.860000;70;0.000000
0.870000;70;0.000000
0.880000;70;0.000000
0.890000;70;0.000000
0.900000;70;0.000000
0.910000;70;0.000000
0.920000;70;0.000000
0.930000;70;0.000000
0.940000;70;0.000000
0.950000;70;0.000000
0.960000;70;0.000000
0.970000;70;0.000000
0.980000;70;0.000000
0.990000;70;0.000000
1.000000;70;0.000000
0.000000;80;1.000000
0.010000;80;0.999000
0.020000;80;1.000000
0.030000;80;0.999000
0.040000;80;0.994000
0.050000;80;0.991000
0.060000;80;0.990000
0.070000;80;0.978000
0.080000;80;0.974000
0.090000;80;0.962000
0.100000;80;0.949000
0.110000;80;0.926000
0.120000;80;0.897000
