p;n;connectedGraphsPercentatge
0.000000;5;1.000000
0.010000;5;1.000000
0.020000;5;0.999000
0.030000;5;0.998000
0.040000;5;0.993000
0.050000;5;0.999000
0.060000;5;0.986000
0.070000;5;0.984000
0.080000;5;0.975000
0.090000;5;0.965000
0.100000;5;0.968000
0.110000;5;0.967000
0.120000;5;0.946000
0.130000;5;0.934000
0.140000;5;0.941000
0.150000;5;0.919000
0.160000;5;0.898000
0.170000;5;0.900000
0.180000;5;0.883000
0.190000;5;0.863000
0.200000;5;0.839000
0.210000;5;0.825000
0.220000;5;0.823000
0.230000;5;0.779000
0.240000;5;0.776000
0.250000;5;0.762000
0.260000;5;0.732000
0.270000;5;0.705000
0.280000;5;0.708000
0.290000;5;0.670000
0.300000;5;0.662000
0.310000;5;0.640000
0.320000;5;0.644000
0.330000;5;0.596000
0.340000;5;0.617000
0.350000;5;0.578000
0.360000;5;0.532000
0.370000;5;0.513000
0.380000;5;0.500000
0.390000;5;0.497000
0.400000;5;0.454000
0.410000;5;0.435000
0.420000;5;0.474000
0.430000;5;0.404000
0.440000;5;0.406000
0.450000;5;0.371000
0.460000;5;0.342000
0.470000;5;0.358000
0.480000;5;0.364000
0.490000;5;0.320000
0.500000;5;0.300000
0.510000;5;0.281000
0.520000;5;0.297000
0.530000;5;0.268000
0.540000;5;0.248000
0.550000;5;0.237000
0.560000;5;0.253000
0.570000;5;0.247000
0.580000;5;0.231000
0.590000;5;0.252000
0.600000;5;0.226000
0.610000;5;0.203000
0.620000;5;0.189000
0.630000;5;0.197000
0.640000;5;0.187000
0.650000;5;0.187000
0.660000;5;0.191000
0.670000;5;0.192000
0.680000;5;0.194000
0.690000;5;0.181000
0.700000;5;0.176000
0.710000;5;0.188000
0.720000;5;0.203000
0.730000;5;0.201000
0.740000;5;0.233000
0.750000;5;0.232000
0.760000;5;0.261000
0.770000;5;0.253000
0.780000;5;0.234000
0.790000;5;0.296000
0.800000;5;0.271000
0.810000;5;0.293000
0.820000;5;0.301000
0.830000;5;0.340000
0.840000;5;0.366000
0.850000;5;0.359000
0.860000;5;0.399000
0.870000;5;0.395000
0.880000;5;0.438000
0.890000;5;0.445000
0.900000;5;0.440000
0.910000;5;0.442000
0.920000;5;0.458000
0.930000;5;0.462000
0.940000;5;0.434000
0.950000;5;0.409000
0.960000;5;0.387000
0.970000;5;0.334000
0.980000;5;0.222000
0.990000;5;0.134000
1.000000;5;0.000000
0.000000;10;1.000000
0.010000;10;0.999000
0.020000;10;0.999000
0.030000;10;0.994000
0.040000;10;0.997000
0.050000;10;0.992000
0.060000;10;0.981000
0.070000;10;0.982000
0.080000;10;0.977000
0.090000;10;0.971000
0.100000;10;0.966000
0.110000;10;0.964000
0.120000;10;0.930000
0.130000;10;0.933000
0.140000;10;0.915000
0.150000;10;0.889000
0.160000;10;0.889000
0.170000;10;0.866000
0.180000;10;0.849000
0.190000;10;0.827000
0.200000;10;0.778000
0.210000;10;0.785000
0.220000;10;0.779000
0.230000;10;0.693000
0.240000;10;0.687000
0.250000;10;0.662000
0.260000;10;0.640000
0.270000;10;0.596000
0.280000;10;0.546000
0.290000;10;0.523000
0.300000;10;0.487000
0.310000;10;0.459000
0.320000;10;0.440000
0.330000;10;0.384000
0.340000;10;0.347000
0.350000;10;0.302000
0.360000;10;0.271000
0.370000;10;0.270000
0.380000;10;0.234000
0.390000;10;0.209000
0.400000;10;0.184000
0.410000;10;0.154000
0.420000;10;0.134000
0.430000;10;0.127000
0.440000;10;0.106000
0.450000;10;0.075000
0.460000;10;0.082000
0.470000;10;0.053000
0.480000;10;0.054000
0.490000;10;0.049000
0.500000;10;0.039000
0.510000;10;0.042000
0.520000;10;0.029000
0.530000;10;0.019000
0.540000;10;0.007000
0.550000;10;0.004000
0.560000;10;0.013000
0.570000;10;0.007000
0.580000;10;0.007000
0.590000;10;0.006000
0.600000;10;0.001000
0.610000;10;0.005000
0.620000;10;0.004000
0.630000;10;0.000000
0.640000;10;0.002000
0.650000;10;0.003000
0.660000;10;0.001000
0.670000;10;0.000000
0.680000;10;0.000000
0.690000;10;0.001000
0.700000;10;0.001000
0.710000;10;0.000000
0.720000;10;0.000000
0.730000;10;0.000000
0.740000;10;0.000000
0.750000;10;0.000000
0.760000;10;0.001000
0.770000;10;0.000000
0.780000;10;0.000000
0.790000;10;0.000000
0.800000;10;0.000000
0.810000;10;0.000000
0.820000;10;0.000000
0.830000;10;0.000000
0.840000;10;0.003000
0.850000;10;0.001000
0.860000;10;0.004000
0.870000;10;0.003000
0.880000;10;0.009000
0.890000;10;0.014000
0.900000;10;0.021000
0.910000;10;0.040000
0.920000;10;0.064000
0.930000;10;0.095000
0.940000;10;0.122000
0.950000;10;0.212000
0.960000;10;0.276000
0.970000;10;0.335000
0.980000;10;0.392000
0.990000;10;0.322000
1.000000;10;0.000000
0.000000;15;1.000000
0.010000;15;0.999000
0.020000;15;0.998000
0.030000;15;0.999000
0.040000;15;0.996000
0.050000;15;0.989000
0.060000;15;0.979000
0.070000;15;0.992000
0.080000;15;0.982000
0.090000;15;0.967000
0.100000;15;0.967000
0.110000;15;0.944000
0.120000;15;0.937000
0.130000;15;0.930000
0.140000;15;0.907000
0.150000;15;0.908000
0.160000;15;0.886000
0.170000;15;0.862000
0.180000;15;0.826000
0.190000;15;0.819000
0.200000;15;0.785000
0.210000;15;0.748000
0.220000;15;0.709000
0.230000;15;0.681000
0.240000;15;0.622000
0.250000;15;0.600000
0.260000;15;0.569000
0.270000;15;0.512000
0.280000;15;0.505000
0.290000;15;0.460000
0.300000;15;0.436000
0.310000;15;0.354000
0.320000;15;0.327000
0.330000;15;0.259000
0.340000;15;0.248000
0.350000;15;0.218000
0.360000;15;0.202000
0.370000;15;0.151000
0.380000;15;0.132000
0.390000;15;0.096000
0.400000;15;0.085000
0.410000;15;0.057000
0.420000;15;0.046000
0.430000;15;0.042000
0.440000;15;0.033000
0.450000;15;0.035000
0.460000;15;0.013000
0.470000;15;0.008000
0.480000;15;0.018000
0.490000;15;0.008000
0.500000;15;0.007000
0.510000;15;0.003000
0.520000;15;0.002000
0.530000;15;0.001000
0.540000;15;0.002000
0.550000;15;0.002000
0.560000;15;0.001000
0.570000;15;0.000000
0.580000;15;0.000000
0.590000;15;0.000000
0.600000;15;0.000000
0.610000;15;0.000000
0.620000;15;0.000000
0.630000;15;0.000000
0.640000;15;0.000000
0.650000;15;0.000000
0.660000;15;0.000000
0.670000;15;0.000000
0.680000;15;0.000000
0.690000;15;0.000000
0.700000;15;0.000000
0.710000;15;0.000000
0.720000;15;0.000000
0.730000;15;0.000000
0.740000;15;0.000000
0.750000;15;0.000000
0.760000;15;0.000000
0.770000;15;0.000000
0.780000;15;0.000000
0.790000;15;0.000000
0.800000;15;0.000000
0.810000;15;0.000000
0.820000;15;0.000000
0.830000;15;0.000000
0.840000;15;0.000000
0.850000;15;0.000000
0.860000;15;0.000000
0.870000;15;0.000000
0.880000;15;0.000000
0.890000;15;0.000000
0.900000;15;0.000000
0.910000;15;0.000000
0.920000;15;0.001000
0.930000;15;0.001000
0.940000;15;0.006000
0.950000;15;0.018000
0.960000;15;0.041000
0.970000;15;0.096000
0.980000;15;0.247000
0.990000;15;0.385000
1.000000;15;0.000000
0.000000;20;1.000000
0.010000;20;1.000000
0.020000;20;0.998000
0.030000;20;1.000000
0.040000;20;0.996000
0.050000;20;0.997000
0.060000;20;0.993000
0.070000;20;0.984000
0.080000;20;0.981000
0.090000;20;0.973000
0.100000;20;0.954000
0.110000;20;0.950000
0.120000;20;0.941000
0.130000;20;0.916000
0.140000;20;0.892000
0.150000;20;0.886000
0.160000;20;0.858000
0.170000;20;0.837000
0.180000;20;0.822000
0.190000;20;0.768000
0.200000;20;0.754000
0.210000;20;0.726000
0.220000;20;0.674000
0.230000;20;0.638000
0.240000;20;0.586000
0.250000;20;0.563000
0.260000;20;0.503000
0.270000;20;0.445000
0.280000;20;0.419000
0.290000;20;0.402000
0.300000;20;0.355000
0.310000;20;0.306000
0.320000;20;0.252000
0.330000;20;0.191000
0.340000;20;0.191000
0.350000;20;0.125000
0.360000;20;0.127000
0.370000;20;0.083000
0.380000;20;0.066000
0.390000;20;0.054000
0.400000;20;0.036000
0.410000;20;0.033000
0.420000;20;0.022000
0.430000;20;0.019000
0.440000;20;0.003000
0.450000;20;0.001000
0.460000;20;0.002000
0.470000;20;0.004000
0.480000;20;0.002000
0.490000;20;0.000000
0.500000;20;0.000000
0.510000;20;0.000000
0.520000;20;0.000000
0.530000;20;0.001000
0.540000;20;0.000000
0.550000;20;0.000000
0.560000;20;0.000000
0.570000;20;0.000000
0.580000;20;0.000000
0.590000;20;0.000000
0.600000;20;0.000000
0.610000;20;0.000000
0.620000;20;0.000000
0.630000;20;0.000000
0.640000;20;0.000000
0.650000;20;0.000000
0.660000;20;0.000000
0.670000;20;0.000000
0.680000;20;0.000000
0.690000;20;0.000000
0.700000;20;0.000000
0.710000;20;0.000000
0.720000;20;0.000000
0.730000;20;0.000000
0.740000;20;0.000000
0.750000;20;0.000000
0.760000;20;0.000000
0.770000;20;0.000000
0.780000;20;0.000000
0.790000;20;0.000000
0.800000;20;0.000000
0.810000;20;0.000000
0.820000;20;0.000000
0.830000;20;0.000000
0.840000;20;0.000000
0.850000;20;0.000000
0.860000;20;0.000000
0.870000;20;0.000000
0.880000;20;0.000000
0.890000;20;0.000000
0.900000;20;0.000000
0.910000;20;0.000000
0.920000;20;0.000000
0.930000;20;0.000000
0.940000;20;0.000000
0.950000;20;0.000000
0.960000;20;0.002000
0.970000;20;0.012000
0.980000;20;0.070000
0.990000;20;0.239000
1.000000;20;0.000000
0.000000;25;1.000000
0.010000;25;1.000000
0.020000;25;1.000000
0.030000;25;0.998000
0.040000;25;0.992000
0.050000;25;0.987000
0.060000;25;0.982000
